	HEX_600	01_HEX_weighted_average_distance	01_HEX_weighted_mean_home_distance	01_HEX_weighted_max_home_distance	01_HEX_weighted_median_home_distance	01_HEX_weighted_radius_of_gyration	01_HEX_weighted_num_reporting_2015	01_HEX_weighted_HEX_coverage	01_HEX_weighted_subject_coverage	01_HEX_weighted_subject_hhi	01_HEX_total_reporting	01_HEX_total_user	user_type	reporting_level
50	92	341.7315127349	404.536820652	574.7703282597	404.536820652	0.0121864518	2.3939393939	1.0303030303	1.0606060606	0.8678451178	1089	726	1	1
51	93	87.8458071195	507.8878031484	599.1580289942	530.196920276	25.3118042906	2.1666666667	1.6666666667	1.3888888889	0.8475651578	324	288	1	1
52	94	36.477176122	185.8622103572	207.4510639355	179.5712329701	0.000185557	2.5	1.09375	1.375	0.8527777778	1024	608	1	1
53	95	295.6163349454	770.4905168415	1109.4716299314	742.1433430683	113.144005647	4.224137931	2.3275862069	1.5	0.8379559667	3364	2668	1	1
54	96	296.0074610717	293.1723395512	520.5415896194	224.8979554431	1.5860949102	1.9411764706	1.1058823529	1.2470588235	0.8513398693	7225	5355	1	1
55	97	306.2128481022	319.5452449254	667.2678167153	319.3199540687	76.5211602707	3.8851674641	1.7416267943	1.4306220096	0.8611484245	43681	27588	1	1
56	98	359.5446908539	338.7166157875	1469.6209908882	247.4538915973	313.9084730939	6.0495049505	2.3762376238	1.7920792079	0.8094651707	10201	6666	1	1
57	101	319.9823121552	286.7313190777	784.0097718073	218.4072908877	100.6279075542	5.2663755459	1.3697234352	1.4818049491	0.8267055453	471969	279609	1	1
58	102	705.3315773195	871.2788232409	1650.9963227743	820.3005357106	165.6531613961	4.2071823204	1.8591160221	1.4917127072	0.8358259692	131044	81450	1	1
59	103	1230.3044878419	2416.9328102468	3746.4900595478	2305.243838686	302.0883522863	9.3461538462	2.7582417582	1.7967032967	0.7300718867	33124	25844	1	1
60	104	560.0001835997	691.4988901888	1339.4323050868	598.2603320321	154.0091795477	5.0326086957	2.3804347826	1.5	0.8613328124	8464	6072	1	1
61	114	65.8882410952	584.543214784	628.7724882718	589.0421390676	10.4411648399	2.4065934066	1.4065934066	1.1538461538	0.9525474584	8281	6279	1	1
62	115	159.491235538	186.5306074552	310.3587634157	146.478958484	3.9204999775	4.2962962963	1.164021164	1.5291005291	0.8364701256	35721	21735	1	1
63	116	263.3586534743	589.7483293071	838.5719959942	528.5856521968	32.3962200133	3.076433121	1.5732484076	1.3439490446	0.871262862	24649	16485	1	1
64	117	264.5187154373	302.8181526955	483.6194946987	292.5084458239	12.2859220283	2.3365384615	1.3173076923	1.2019230769	0.9186717214	10816	8528	1	1
65	118	172.374672063	298.484459746	498.6815462852	267.1512360056	49.197035601	3.06	1.34	1.3133333333	0.8617524586	22500	14250	1	1
66	119	465.9393203116	496.7107886737	901.3811194243	449.848508629	122.7860925129	6.5867768595	2.5867768595	1.9090909091	0.7577524997	14641	8349	1	1
67	120	404.9310748437	350.2426198734	564.6635262646	351.0971484857	16.0222954318	3.2109375	1.484375	1.234375	0.924314761	16384	11520	1	1
68	121	487.5035248809	1477.3701355054	2012.3184123953	1404.0531144785	259.4932454882	9.6585365854	1.9451219512	1.7012195122	0.801172735	26896	15744	1	1
69	122	511.5552917516	662.471376037	1062.5778001026	649.8406584398	77.5418072856	4.25	2.4583333333	1.4166666667	0.9016730019	576	504	1	1
70	123	0	1591.0506347009	1591.0506347009	1591.0506347009	0	1	1	1	1	4	4	1	1
71	124	4272.2930217015	3876.3224290151	7700.6762932504	4204.3125612273	1119.3714180039	25.75	19.5	3.5	0.4533695954	16	16	1	1
72	128	277.2781307843	211.81985949	561.5799287024	171.7695938288	82.047286941	8.3904761905	2.1047619048	1.9047619048	0.7684791885	11025	7035	1	1
73	129	122.1761865953	243.9001059215	393.7949903135	231.7929324507	34.4567390193	6.5543478261	1.4782608696	1.6050724638	0.8064445802	76176	47748	1	1
74	130	388.262096466	718.771959927	1169.5574525696	716.3274408392	69.2490377971	4.6927083333	1.7239583333	1.4375	0.8517600489	36864	24960	1	1
75	131	347.0539964624	806.8967014203	1042.6372751991	812.0559966571	42.4646794229	3.0909090909	1.4659090909	1.3295454545	0.8248776485	7744	5808	1	1
76	132	991.7223519798	1470.5593762514	2591.8942880569	1375.2822129049	246.658061677	11.8246753247	3.2272727273	1.7662337662	0.7571799688	23716	18326	1	1
77	133	924.7966439291	1408.1898882908	2429.0940822973	1279.2541290366	255.5942840914	5.4727272727	1.8727272727	1.6	0.807063898	3025	2695	1	1
78	134	1002.8286353185	1038.531651939	1898.1933035841	955.8751702215	130.362036657	4.7	2.65	1.9	0.6184915359	400	300	1	1
79	135	191.0727228483	243.7640375113	629.483866307	241.145661678	115.7349282015	4.3333333333	1.8333333333	1.8333333333	0.6859259259	36	24	1	1
