Index	HEX_600	06_HEX_weighted_average_distance	06_HEX_weighted_mean_home_distance	06_HEX_weighted_max_home_distance	06_HEX_weighted_median_home_distance	06_HEX_weighted_radius_of_gyration	06_HEX_weighted_num_reporting_2015	06_HEX_weighted_HEX_coverage	06_HEX_weighted_subject_coverage	06_HEX_weighted_subject_hhi	06_HEX_total_reporting	06_HEX_total_user	user_type	reporting_level
136	216	1074.0259110176	863.4313863204	2152.78903192	762.6864388447	413.7946382197	94.5913043478	26.7130434783	2.7130434783	0.5835675852	13225	4370	3	2
137	217	909.263351044	745.5243261362	1895.3679786746	632.2366496492	323.3688888698	44.4851485149	14.3069306931	2.2574257426	0.6727108716	10201	3636	3	2
138	218	1270.5420059836	1155.0845276978	3167.7529220203	857.4501524836	476.3055217719	46.0322580645	14.3709677419	2.7096774194	0.5148672545	3844	1550	3	2
139	219	782.4317142697	607.6982863141	1622.9328429266	448.5790414707	210.1979179113	15.75	7.8076923077	1.9615384615	0.6417709955	2704	1144	3	2
140	220	872.3778038402	820.1841429865	1743.0575671475	720.3578993219	340.9758814639	6.4782608696	2.9565217391	1.7826086957	0.5993978873	529	253	3	2
141	225	706.9659122473	649.7553645509	1581.7557207252	605.6401293869	278.4573738381	127.75	35	2.375	0.7230861969	64	24	3	2
142	228	1351.1733292028	1078.6273437177	4173.0976841051	770.4595417225	725.4062385389	51.6202531646	16.8860759494	2.3924050633	0.6235512363	6241	2212	3	2
143	229	1191.8724446098	946.8342502134	3544.208934161	678.7683538547	603.9586828096	41.25	15.3529411765	2.2941176471	0.7063928701	4624	1768	3	2
144	230	1404.8219069748	1135.5529420273	2966.5223772397	1032.0631331718	565.8712713964	159.8679245283	45.3679245283	2.7735849057	0.6399488949	11236	3498	3	2
145	231	1729.0014493183	1809.9948177933	3761.7027557882	1844.2873605664	608.4354015214	104.2424242424	32.5454545455	2.4545454545	0.7095902465	1089	528	3	2
146	232	838.9592670654	632.7494038484	1776.4097779595	495.6861405368	240.2840473045	47.8771929825	14.4561403509	2.0877192982	0.7693320255	3249	1197	3	2
147	233	2794.9434325941	2207.9177425439	5711.1717849005	1782.825533374	964.9553276908	159.375	51.2916666667	3.2291666667	0.5237493501	2304	1152	3	2
148	234	3649.8509272807	3294.5717811018	8045.2120561778	2987.517378603	1368.6961702027	303.1395348837	96.4651162791	4.488372093	0.5117414342	1849	817	3	2
149	235	2613.4979044522	2844.7167272756	5661.0634886335	2851.41159736	1161.4573382265	307.1428571429	81.2857142857	3.7142857143	0.5713090144	49	21	3	2
150	237	911.8408267275	794.4827450658	1882.0346674649	718.4171766452	339.9539030099	76.3928571429	25.4761904762	2.4047619048	0.6288450543	7056	2604	3	2
151	238	564.7478214596	454.3349028578	1180.6768446675	362.9634592983	189.8598122349	24.9262295082	8.0655737705	1.9754098361	0.6960706961	14884	4514	3	2
152	239	335.1839447014	289.8028164348	835.8307050114	238.6525781962	153.8734474403	59.1475409836	8.3715846995	3.1530054645	0.6830351315	33489	6588	3	2
153	240	689.5757062486	597.9001928696	1469.9676224015	506.0444652918	216.2679592279	55.587628866	17.6082474227	2.2474226804	0.6003251752	9409	3589	3	2
154	241	387.2368421464	301.9418993119	886.2579984408	232.1285031729	182.3345485062	6.0361445783	2.0120481928	1.8674698795	0.6463584035	6889	2158	3	2
155	248	1949.5232285756	1486.0235474692	4593.2016003896	1000.2094982696	489.1239401804	75.2941176471	25	2.6470588235	0.4445427192	289	136	3	2
156	249	507.5824064631	580.1695167488	1074.9035164372	502.8182137536	147.2881665589	8.9487179487	4.358974359	1.6025641026	0.7433924778	6084	2184	3	2
157	250	1837.1239628817	1574.3004568324	3953.2793906437	1369.9375524074	616.038105581	80.3888888889	29.6388888889	2.4444444444	0.6747820159	1296	684	3	2
158	251	591.3436139914	476.3227775437	1265.5943993895	366.7562081083	219.5656849097	35.5460992908	10.1560283688	1.9929078014	0.7031145305	19881	6204	3	2
159	252	928.3814822335	957.9162145169	2369.0704849648	856.0322006484	374.7678790205	32.6162790698	10.2093023256	2.7441860465	0.503094477	7396	2580	3	2
160	253	1835.4616026032	1511.2136968721	3602.6684766529	1481.4468423496	641.299820675	142.7974683544	44.3291139241	2.6582278481	0.68626999	6241	2370	3	2
161	254	1434.4164183623	1091.1166358822	2800.4647113364	933.0873815359	488.579579623	134.5842696629	39.7528089888	2.9213483146	0.5983685167	7921	3026	3	2
162	255	1056.3004728683	956.4288647575	2158.014394598	1049.4886493889	340.1632104713	74.606741573	23.8988764045	2.797752809	0.5624250823	7921	2225	3	2
163	256	2370.5594049741	1748.1178560883	4853.5020554649	1542.1808708695	948.5865373258	403.6	110.4	5	0.3201258301	25	10	3	2
164	257	1165.0628991337	1104.4895760345	2391.3007018838	1052.2959280814	404.4514105161	57.0727272727	21.6181818182	2.1454545455	0.6747414838	3025	1210	3	2
165	258	1031.3694190861	1063.8676865655	2335.9668368795	971.9204852384	382.6877499924	97.3902439024	31.0731707317	2.5365853659	0.5844060472	1681	492	3	2
166	260	5332.5119269432	4506.5019602666	9813.8282625692	4495.0738839658	1616.5049415811	60	45.6666666667	3.3333333333	0.6185249285	9	9	3	2
167	270	5584.1556592091	4132.5100901609	11578.0097821607	3769.0850514539	2227.6589905273	997	273	8	0.2846895752	1	1	3	2
168	271	960.1109629541	915.1820046266	2022.867168072	837.1681170948	269.8899490933	43.5909090909	17.3636363636	1.7954545455	0.7786147264	1936	836	3	2
169	272	925.6831351982	728.5575121508	2170.6716403717	511.9138854139	313.7664310155	51.9057971014	14.4275362319	2.3260869565	0.6819237103	19044	5934	3	2
170	273	979.998301725	767.4377141399	2563.3138957676	757.636575445	359.1490350663	59.1546391753	17.2989690722	2.9278350515	0.5606327176	9409	2813	3	2
171	274	2740.6877624243	2642.7431533002	6047.2132452935	2328.5750633608	1045.7985960245	139.3529411765	54.5588235294	3.4117647059	0.5399882356	1156	646	3	2
