Index	HEX_600	04_HEX_weighted_average_distance	04_HEX_weighted_mean_home_distance	04_HEX_weighted_max_home_distance	04_HEX_weighted_median_home_distance	04_HEX_weighted_radius_of_gyration	04_HEX_weighted_num_reporting_2015	04_HEX_weighted_HEX_coverage	04_HEX_weighted_subject_coverage	04_HEX_weighted_subject_hhi	04_HEX_total_reporting	04_HEX_total_user	user_type	reporting_level
69	134	803.2808155165	649.7320205235	1707.5373951878	499.4475083099	236.9977663576	7.3636363636	3.8181818182	2.3636363636	0.4427118834	121	77	1	2
70	135	286.6090842724	293.3473384243	871.9270816178	289.4197746744	173.6023923022	6	2.25	2.25	0.5288888889	16	8	1	2
71	146	26.2691046328	74.5547637608	90.174731011	73.0498740589	0.6684771073	4.7368421053	1.1052631579	1.5263157895	0.8315789474	361	95	1	2
72	147	714.9979888959	1002.7573405592	2166.9296738203	813.1422678752	338.7898766313	10.5862068966	3.4137931034	1.9310344828	0.7182275518	841	406	1	2
73	148	867.137549822	1116.9988652768	2297.7259422	968.7157301231	374.5952083498	10.756097561	4.2926829268	2.2926829268	0.6345485465	1681	615	1	2
74	149	581.3101609451	643.0113113748	2034.1962214735	509.0811601681	392.5076914116	6.8611111111	2.3888888889	1.7222222222	0.8004216451	5184	1584	1	2
75	150	506.9382722646	825.9417659815	1601.662914272	869.5647563161	203.0436712717	8.0149253731	1.9104477612	2.3432835821	0.640034522	4489	1273	1	2
76	151	773.0497930776	922.6087199801	1720.4288244616	875.9658148339	312.2120816709	9.3333333333	3.7222222222	2.2777777778	0.7069320353	324	180	1	2
77	152	709.9777507236	626.8547083545	1812.0613541288	434.4422990425	318.4461129572	9.75	4.0714285714	2.3571428571	0.619544214	3136	1176	1	2
78	153	1231.7250408434	1274.1510415795	2578.0157115791	1201.8024235036	291.0647435298	11.4166666667	4.7916666667	2.7916666667	0.487251201	576	288	1	2
79	154	3764.1412168107	2559.1141462418	5496.8171181761	2893.696004244	362.2270092706	4	2.25	1.75	0.65625	16	12	1	2
80	156	3224.615092336	5630.3230554296	7498.5553586409	7485.8550647294	5.4215005132	8	4	3	0.59375	25	5	1	2
81	157	374.1536226374	464.4987922898	897.9155394538	390.0129629256	135.9018992481	4.3214285714	2.0357142857	1.7857142857	0.7344196429	784	336	1	2
82	158	416.394340918	388.4981398945	1109.6430775442	304.714853482	197.2104241665	23.8333333333	6	3	0.393310548	36	18	1	2
83	159	525.5530351912	819.0335284956	1477.0761480843	743.830860865	123.9054684392	11.78125	2.53125	2.40625	0.6244516828	1024	384	1	2
84	160	558.2633494922	678.4480500246	1496.6312527732	606.4668189182	198.4459028534	13.4935897436	3.6025641026	2.2243589744	0.670285984	24336	7956	1	2
85	161	874.7735174729	1051.3360767438	2401.5001279412	952.9969913816	345.6414420887	39.5333333333	6.5047619048	3.9142857143	0.5383607169	11025	3045	1	2
86	162	934.1489318581	944.2038251489	2295.9779684601	787.8472813226	334.3776265129	17.8875	5.2625	2.5875	0.6062485421	6400	2800	1	2
87	163	535.8520741087	596.0026826397	1193.9198617207	505.621872957	180.2115247053	12.7372262774	2.3430656934	2.1459854015	0.6429494599	18769	4658	1	2
88	164	1186.8230910304	842.7142453222	2406.9839934746	588.255642786	366.5986515285	25.7346938776	3.9387755102	2.2040816327	0.6722923624	2401	1029	1	2
89	165	2092.1499763785	1743.1486145495	3640.9670690534	1585.8972197312	550.9229986207	12.3125	7.375	2.25	0.6416332939	256	144	1	2
90	166	725.3466895295	2705.3120143509	3824.0833681628	2583.0615073794	243.8128558983	11.2777777778	6.1666666667	1.8333333333	0.756456987	324	162	1	2
91	167	1547.5645702125	1672.6729427773	2983.5516853013	1448.1337278472	473.5042888303	4.5	3.5	3	0.3075	4	4	1	2
92	168	1405.7340665686	1246.5581325175	2081.6151684127	1619.0823206771	339.3158952968	3	3	3	0.3333333333	1	1	1	2
93	177	878.7654448733	535.6993469527	5163.1049544062	153.1456816537	1197.1541530603	22.0208333333	3.75	2.8333333333	0.6418334198	2304	384	1	2
94	178	711.5673874499	681.6327767015	1479.2751570934	996.6715914532	123.0317022595	6.8148148148	2.4074074074	1.8888888889	0.7392278381	729	297	1	2
95	179	510.1898455321	484.1742550535	1915.9683723101	325.9870043594	371.9276585559	8.8636363636	2.5454545455	2.1363636364	0.6756119746	1936	616	1	2
96	180	323.544283796	396.6720482349	701.9377341234	476.2747688481	68.3293336425	7.25	1.6818181818	1.8409090909	0.7295142138	7744	2112	1	2
97	181	867.1958386448	978.81214271	1722.3195870209	1018.7598683066	251.28052702	5.76	1.88	1.6	0.6729605442	625	200	1	2
98	183	1950.1393043746	1656.1164749224	5123.8785833826	1258.1697240991	934.129896447	24	7	3	0.5333333333	4	4	1	2
99	184	2126.0893189437	2232.1639488534	4993.7989225588	2038.0481436248	792.1473887735	9.4	3.4	2.15	0.617625	400	240	1	2
100	185	816.2800465567	976.7815007178	1737.1869670547	980.1490317611	266.000155443	8	3.75	2.4583333333	0.5962731481	576	240	1	2
101	186	683.3915851072	524.5427825184	1251.8920801902	400.8126487612	259.1607778452	6.4666666667	2.5333333333	1.8333333333	0.6688586861	900	450	1	2
102	187	501.7818305363	500.4048459945	1027.4146759049	440.1565492827	137.2757249308	8.4065934066	3.3736263736	1.6813186813	0.7522324389	8281	3094	1	2
103	188	282.5468922478	247.2452322957	808.0140354777	173.3086799894	151.4339402281	19.442687747	3.7865612648	2.628458498	0.5961878045	64009	16192	1	2
104	189	517.4374547941	587.1975003123	1380.3720115118	415.9757572249	159.4076963305	31.5431034483	3.8318965517	2.3534482759	0.628188224	53824	14152	1	2
105	190	284.4118220385	351.0493013432	886.5041770737	287.6398913831	141.432524817	26.6851851852	3.8333333333	1.8796296296	0.709252584	11664	3456	1	2
106	191	1933.6619777103	1054.6661702426	5054.2998674811	152.7881869012	748.4773908676	5.3333333333	2.6666666667	2	0.68	9	9	1	2
107	192	947.0407880775	1204.390576169	2206.2547514175	1251.7339092384	292.9600988811	11.5833333333	6.9444444444	1.9722222222	0.6464799477	1296	468	1	2
108	193	1975.5065275248	2017.6890971099	5108.3967415369	1843.2515959597	739.4529175686	11.3333333333	9	2.3333333333	0.400888133	9	6	1	2
