Index	HEX_600	03_HEX_weighted_average_distance	03_HEX_weighted_mean_home_distance	03_HEX_weighted_max_home_distance	03_HEX_weighted_median_home_distance	03_HEX_weighted_radius_of_gyration	03_HEX_weighted_num_reporting_2015	03_HEX_weighted_HEX_coverage	03_HEX_weighted_subject_coverage	03_HEX_weighted_subject_hhi	03_HEX_total_reporting	03_HEX_total_user	user_type	reporting_level
48	82	1853.1124332009	1579.3290921999	3033.8255248695	1439.3332788903	418.8873620363	8.9444444444	6.8333333333	2.0555555556	0.686799039	324	288	3	1
49	83	416.3640154869	422.1431790421	915.1712027676	371.0254440219	123.6054449607	21.3773584906	6.3113207547	2.25	0.7253886438	44944	26712	3	1
50	84	158.6511894616	182.8097062615	398.5705626295	137.9004016898	59.5264145491	8.1263157895	1.8421052632	1.7368421053	0.81634042	9025	6175	3	1
51	92	507.9999887545	536.7318194147	949.1870016561	525.3225666574	62.747938058	10.3235294118	5.4411764706	1.2352941176	0.8524190268	1156	782	3	1
52	93	377.125273019	698.6573972017	1176.9923317925	700.6647166537	141.2248140925	54.5263157895	15.9473684211	1.7368421053	0.8179401271	361	323	3	1
53	94	225.6424940746	326.9261019438	583.2259162768	299.0665917237	71.2708792802	6.7575757576	4.303030303	1.5151515152	0.8390741325	1089	660	3	1
54	95	562.8695894266	959.5716558443	1675.3284394636	911.51619664	220.7690534568	12.4918032787	7.2295081967	1.7213114754	0.8166695459	3721	2989	3	1
55	96	472.012112719	437.0491610168	901.8854351672	359.3448926498	80.903372301	25.7045454545	8.0568181818	1.3977272727	0.8399311912	7744	5720	3	1
56	97	459.0497913659	442.5467948915	939.900730218	437.2808974735	134.4214176261	11.3534883721	4.7906976744	1.4976744186	0.8570177491	46225	29455	3	1
57	98	510.2546226334	448.1529660098	1761.2091290979	349.0394058239	369.1128149429	34.6346153846	10.1826923077	1.9711538462	0.7943274131	10816	6968	3	1
58	99	5584.1556592091	4132.5100901609	11578.0097821607	3769.0850514539	2227.6589905273	997	273	8	0.2846895752	9	3	3	1
59	101	444.7440162594	383.5831392648	1033.5560405566	305.7112029837	148.4955779371	16.9758522727	5.1832386364	1.5965909091	0.8157867983	495616	291456	3	1
60	102	1005.5673621912	1052.7225046221	2243.1557307058	972.7896273209	296.4515956545	43.3002309469	13.8799076212	2.1524249423	0.7752820897	187489	102621	3	1
61	103	1632.876822972	2576.3253001563	4439.706512197	2443.9445495082	484.6710018342	59.1818181818	19.3827751196	2.2392344498	0.6996742513	43681	32186	3	1
62	104	1231.8129035579	1164.6504092816	2716.7189201183	1035.8249295988	433.6073750001	105.9272727273	33.2	2.2818181818	0.7935946141	12100	7810	3	1
63	114	189.3536312126	659.1160204944	822.9151138965	653.7585893617	60.0646884671	13.2150537634	4.4408602151	1.2580645161	0.9379868868	8649	6603	3	1
64	115	290.9789473855	291.1676086113	583.0042329196	244.0366051266	61.5240823471	12.5463917526	4.5412371134	1.6030927835	0.8318126242	37636	23086	3	1
65	116	385.6026100802	683.0357191583	1013.4427901219	625.246990742	67.8609118638	3.7639751553	2.099378882	1.3726708075	0.8658732771	25921	17549	3	1
66	117	410.2558930996	411.5499738702	782.01591289	393.4134628157	72.0998414772	21.6355140187	6.8971962617	1.3457943925	0.9055939173	11449	8988	3	1
67	118	310.1039251414	395.7361148227	778.4169104487	355.6666493822	105.7828351701	23.8441558442	7.4805194805	1.4675324675	0.8488960813	23716	14938	3	1
68	119	586.2444012969	581.7757101625	1149.7022414072	527.1174443281	173.7133828998	24.2983870968	7.9919354839	2.0322580645	0.7489555695	15376	8804	3	1
69	120	863.2805503423	708.9527036928	1558.344208092	678.345273667	199.5844278089	43.2714285714	16.1	1.6928571429	0.8795929805	19600	13160	3	1
