	HEX_600	HEX_weighted_average_distance	HEX_weighted_mean_home_distance	HEX_weighted_max_home_distance	HEX_weighted_median_home_distance	HEX_weighted_radius_of_gyration	HEX_weighted_num_reporting_2015	HEX_weighted_HEX_coverage	HEX_weighted_subject_coverage	HEX_weighted_subject_hhi	HEX_total_reporting	HEX_total_user	HEX_normalized_total_311_per_100	HEX_num_311_including_government_users	HEX_total_population	HEX_income_below_poverty	HEX_below_poverty_unemployed	HEX_above_poverty_unemployed	HEX_total_housing_units	HEX_Owner_occupied_housing_units	HEX_Renter_occupied_housing_units	HEX_less_than_bacholar	HEX_estimate_total_for_degree	HEX_White_population	HEX_Black_or_African_American_population	HEX_American_Indian_and_Alaska_Native_population	HEX_Asian_population	HEX_Native_Hawaiian_and_Other_Pacific_Islander_population	HEX_Some_other_race_population	HEX_Mean_travel_time_to_work_minutes	HEX_Foreign_born_population	HEX_Citizen_population	HEX_obrien.IndividualNeeds	HEX_obrien.PublicNeeds	HEX_minkoff.CausedByHumanBehavior	HEX_minkoff.CausedByUsage	HEX_wheeler.Detritus	HEX_wheeler.Infrastructure	HEX_600_coverage_in_HEX	HEX_income_below_poverty_percentage	HEX_renter_occupied_housing_units_percentage	HEX_below_poverty_unemployed_percentage	HEX_above_poverty_unemployed_percentage	HEX_less_than_bacholar_percentage	poverty_index	HEX_Foreign_born_population_percentage	HEX_Citizen_population_percentage	HEX_White_population_percentage	HEX_Black_or_African_American_population_percentage	HEX_American_Indian_and_Alaska_Native_population_percentage	HEX_Some_other_race_population_percentage	user_type	frequency
	465	568.0611932742	508.6099202968	1276.5275149665	394.0123735145	205.8173027122	13.7272727273	4.3636363636	2.3636363636	0.3639981514	1936	660	36.08999434	610	1690.219162	162.106569	30.55278557	83.46487404	637.6882374	251.1291441	386.5590933	906.4007931	1154.337075	627.2506881	814.447477	7.990390215	3.352796466	0.88790047	287.4857563	36.9286131546	548.478573	1497.729444	78	438	21	309	127	184	12.21105528	-0.5310480693	0.0734072811	0.0968266342	1.3482073575	1.0322068475	-0.0992528187	0.3245014524	0.8861155273	0.3711061277	0.4818590957	0.0047274285	0.1700878577	non_gov	heavy
	466	553.8900291107	411.1132590481	1846.7965875455	325.9438976427	325.4154355745	37	8	5	0.6471877283	9	3	14.50658631	26	179.228934	26.20675077	4.193537206	10.296273	61.13405947	24.14854304	36.98551642	102.4778907	125.7505493	40.01965472	122.5978338	3.342989808	2.326075467	0	15.79249273	33.7183506989	53.39758786	155.4434175	1	17	0	11	6	0	2.833333333	0.1079550832	0.0674226888	0.5499216262	1.9066199611	1.2765520516	0.5561234187	0.2979295065	0.8672897508	0.2232879135	0.6840292528	0.0186520655	0.0881135226	non_gov	heavy
	467	1929.4955982532	975.7403922341	5733.6310655746	11.5459742194	0.3574019247	5.6428571429	1.6428571429	1.3571428571	0.2015873016	196	42	20.54382983	97	472.1612318	81.68679103	15.19840175	34.39718844	172.8129703	70.67735512	102.1356152	291.3327934	341.2262567	30.64750345	426.2800645	2.011261053	4.008610506	0	14.9242391	36.9137831825	179.1943391	390.7779999	13	74	0	45	30	30	1.594594595	0.4481761357	-0.0023832204	1.2984641739	2.9729025578	1.5879223591	1.1568017112	0.3795193824	0.8276367766	0.0649089789	0.9028273306	0.0042596912	0.0316083534	non_gov	heavy
	468	786.9945625219	779.0062460419	1524.5896009688	753.3672681401	207.3229704868	5.1454545455	2.2363636364	1.7272727273	0.2435847506	3025	1100	34.78699037	749	2153.103767	382.61672	72.68379668	137.0516871	680.7681495	212.3185731	468.4495764	1255.013137	1438.194515	150.3240373	1968.322825	2.800692154	44.58778125	11.87478741	36.38100659	38.7298372949	827.5800348	1752.179984	212	426	1	236	179	70	5.547619048	0.5078534547	0.4827407973	1.4320296146	2.3362005283	1.3530353375	1.5147707472	0.3843660707	0.8137926332	0.0698173677	0.9141792677	0.0013007697	0.0168970057	non_gov	heavy
	469	320.1003248333	780.1332874803	1176.7608035573	737.7819574518	99.9180539062	5.1551724138	2.4827586207	1.6379310345	0.2161813046	3364	1276	26.799047	733	2735.171889	521.6346973	87.95100803	165.0779109	830.3839155	196.1546692	634.2292464	1558.297985	1752.298834	230.1047073	2468.04963	1.924879471	74.29638206	26.61359205	30.14994329	38.3431352538	1027.713292	2199.339734	194	426	9	256	133	105	6.802120141	0.6730815876	0.8607404908	1.2956169724	2.1078016825	1.2624790331	1.7509353089	0.3757399292	0.8040956193	0.0841280609	0.9023380358	0.0007037508	0.0110230525	non_gov	heavy
	470	645.2347836469	505.7469984827	1188.6440372782	310.5680186227	123.9056962128	4.0294117647	1.7352941176	1.5588235294	0.2111474219	1156	510	29.66817245	463	1560.594947	257.8620736	39.4177823	55.49763206	584.5228187	179.9489212	404.5738975	897.742145	1032.174522	176.2337184	1339.530996	5.382465391	24.21088111	10.36234133	48.56743675	43.4930708396	516.9365604	1353.346239	135	279	1	176	79	53	3.761904762	0.3494510084	0.5028489048	0.7083361351	0.3915550265	1.3005363461	1.041873869	0.3312432617	0.8671989113	0.1129272645	0.8583463624	0.003448983	0.0311211034	non_gov	heavy
	471	444.6278270307	522.5704125507	940.2642325345	540.5984516206	151.6008253601	6.6818181818	3.2727272727	1.9772727273	0.3892787601	1936	748	32.3990277	563	1737.706468	248.8390327	32.24945337	51.55432806	625.8766476	289.8160447	336.0606029	952.8357574	1143.177974	229.4368671	1421.962774	17.04683774	64.64898695	3.375954472	40.60003786	44.0927779236	562.8391103	1493.978052	161	319	2	185	105	58	2.794979079	0.0696011979	-0.2725433591	0.1379010829	-0.0164503474	1.1152450176	0.098315219	0.3238976897	0.8597413197	0.1320343058	0.8182986023	0.0098099639	0.0233641519	non_gov	heavy
	472	380.7479107305	286.4421774243	734.3046528886	215.2606447356	131.484651308	4.829787234	1.7021276596	1.7872340426	0.2713374597	2209	799	33.93567778	661	1947.802558	169.7819958	25.57651432	82.20264001	684.6135917	323.4188607	361.194731	1062.596617	1372.427586	333.3739421	1368.935993	63.8302945	156.6993306	2.360358518	100.1104595	36.8610652568	552.2073722	1734.108572	183	408	4	226	115	100	4.032967033	-0.6420899679	-0.3192798933	-0.3242399615	0.8512793794	1.0960226845	-0.6081446368	0.2835027451	0.8902897087	0.1711538681	0.7028104504	0.0327704131	0.0513966157	non_gov	heavy
	473	38.1626363837	72.019644584	135.9229751883	56.8688271595	7.9410012775	6.8666666667	1.5777777778	2.6444444444	0.3909849108	2025	540	40.07285117	579	1444.868491	108.5043169	14.50358109	72.60557697	540.43513	258.9530867	281.4820434	699.122459	1041.869425	432.6738189	835.7940415	26.81130696	160.1609755	6.644855555	41.39678304	35.5898867139	407.9355002	1278.215454	110	403	17	256	80	97	11.96412556	-0.7953871566	-0.3529826709	-0.5875914751	1.4084029904	0.6716513736	-0.9135025417	0.2823339998	0.8846586814	0.2994555017	0.5784568261	0.0185562265	0.0286509003	non_gov	heavy
	474	482.5512793072	521.371613422	1282.3881634707	488.7502095639	199.0833866604	5	1.5	1.375	0.1395011338	64	32	19.91355982	213	1069.62292	64.78693679	2.352397121	65.592098	430.6161744	205.0443989	225.5717754	396.8193805	784.0718926	554.8709862	388.9228442	0.064947677	166.6376112	11.62791228	0.058452909	33.7956827266	294.7788379	936.6253924	37	142	1	70	54	24	4.954545455	-0.9798891049	-0.3380367007	-1.2550216898	2.17487313	-0.1050801859	-1.4672446257	0.2755913625	0.8756594262	0.5187538298	0.363607433	6.07201620174705e-05	5.46481455352509e-05	non_gov	heavy
