	HEX_600	HEX_weighted_average_distance	HEX_weighted_mean_home_distance	HEX_weighted_max_home_distance	HEX_weighted_median_home_distance	HEX_weighted_radius_of_gyration	HEX_weighted_num_reporting_2015	HEX_weighted_HEX_coverage	HEX_weighted_subject_coverage	HEX_weighted_subject_hhi	HEX_total_reporting	HEX_total_user	HEX_normalized_total_311_per_100	HEX_num_311_including_government_users	HEX_total_population	HEX_income_below_poverty	HEX_below_poverty_unemployed	HEX_above_poverty_unemployed	HEX_total_housing_units	HEX_Owner_occupied_housing_units	HEX_Renter_occupied_housing_units	HEX_less_than_bacholar	HEX_estimate_total_for_degree	HEX_White_population	HEX_Black_or_African_American_population	HEX_American_Indian_and_Alaska_Native_population	HEX_Asian_population	HEX_Native_Hawaiian_and_Other_Pacific_Islander_population	HEX_Some_other_race_population	HEX_Mean_travel_time_to_work_minutes	HEX_Foreign_born_population	HEX_Citizen_population	HEX_obrien.IndividualNeeds	HEX_obrien.PublicNeeds	HEX_minkoff.CausedByHumanBehavior	HEX_minkoff.CausedByUsage	HEX_wheeler.Detritus	HEX_wheeler.Infrastructure	HEX_600_coverage_in_HEX	HEX_income_below_poverty_percentage	HEX_renter_occupied_housing_units_percentage	HEX_below_poverty_unemployed_percentage	HEX_above_poverty_unemployed_percentage	HEX_less_than_bacholar_percentage	poverty_index	HEX_Foreign_born_population_percentage	HEX_Citizen_population_percentage	HEX_White_population_percentage	HEX_Black_or_African_American_population_percentage	HEX_American_Indian_and_Alaska_Native_population_percentage	HEX_Some_other_race_population_percentage	user_type	frequency
	26	74.7984829997	665.6963040696	709.9145331055	662.1271916356	35.6023938446	2.3636363636	1.4090909091	1.3181818182	0.1146401515	484	396	44.10241107	202	458.0248451	80.08170741	6.307320318	13.18159078	169.2346171	65.48274128	103.7518758	248.0406867	339.4613969	389.8490907	79.16041343	0	34.22961476	0	18.49674835	34.2	203.8185757	292.3336664	20	159	1	133	23	57	11.96666667	0.5003416843	0.1214328385	-0.2510196134	-0.0473647405	1.0939349499	0.3804523617	0.4449945846	0.6382484914	0.8511527156	0.1728299551	0	0.0403837227	all	all
	29	2892.6136557932	1949.9965868196	5807.7189158962	1270.9218766283	1154.3106313812	155.375	52.125	2.875	0.3249689275	64	56	120.3765312	58	48.18214932	2.466147615	0.704613604	0.939484806	22.37987019	12.39784413	9.98202606	10.70341618	38.78730126	43.78670255	2.986219561	0	2.18094687	0	0.201318173	28.2	4.026363453	47.15878194	1	52	0	28	5	27	8.277777778	-1.0816819002	-0.6906312975	-0.1782092399	-0.6880733691	-1.085720478	-1.2887661516	0.0835654596	0.9787604456	0.9087743732	0.0619777159	0	0.004178273	all	all
	30	1310.8032784869	1619.5276777736	3228.3508160933	1517.4443879369	425.9416271572	74.8125	26.375	2.1875	0.3436548394	256	224	43.90605683	151	343.9161038	17.60294821	5.029413775	6.705885033	159.7437613	88.49373285	71.25002848	76.3991902	276.8572535	312.5421417	21.31513457	0	15.56723311	0	1.436975364	28.2	28.73950729	336.6114791	16	112	20	47	33	42	14.62666667	-1.0816819002	-0.6906312973	-0.1782092392	-0.6880733695	-1.085720478	-1.2887661511	0.0835654596	0.9787604459	0.9087743733	0.0619777159	0	0.004178273	all	all
	31	285.5878074095	395.2951086498	635.189150221	400.636616531	83.3434986057	8.8761061947	3.7168141593	1.4380530973	0.1551088001	51076	35030	123.5198579	1311	1061.367801	98.91978654	22.14391609	21.08504929	489.323886	247.92046	241.4034259	268.2415311	807.1008947	890.1272837	84.55787917	0.889446587	78.31074316	0	25.60763698	30.291852566	121.2419319	1008.125327	185	929	21	548	143	293	4.374439462	-0.5441409077	-0.460613255	0.3542286206	-0.6627149443	-0.8769871069	-0.5194516272	0.1142317788	0.9498359815	0.8386605311	0.0796687813	0.0008380192	0.0241270151	all	all
	32	305.7647322569	629.2600467152	912.2414308496	622.2348392297	76.5856769972	7.4768518519	4.25	1.3657407407	0.1437552693	46656	33480	51.56924154	1313	2546.091353	300.6328299	70.04370389	31.78955131	1158.390079	633.5855014	524.8045772	568.9075384	1892.310197	2051.004445	297.6435449	4.406595983	187.4902412	0	58.38655852	30.8545306143	329.7142446	2397.729605	223	909	7	510	245	170	3.635746606	-0.2258886298	-0.656505602	0.9214061696	-1.1722314071	-1.0768582327	-0.1618698231	0.129498199	0.9417296053	0.8055502182	0.1169021467	0.0017307297	0.0229318396	all	all
	33	898.2775979839	2403.9262533262	2996.8682795353	2549.1295195173	349.8146587406	4.4	2.8	1.5142857143	0.1355102086	1225	805	13.15723784	121	919.6459126	173.0725873	16.6723671	17.51411312	441.3206149	148.0817314	293.2388836	312.3447374	662.6281721	549.9154651	203.7901151	3.148386071	124.4709974	0	67.17476648	31.2974398119	244.644648	808.45833	35	52	2	33	10	22	12.55319149	0.6711796077	0.3712791228	0.1208928094	-0.7194300336	-0.2839343788	0.6504880983	0.266020481	0.8790973993	0.5979643443	0.2215962821	0.0034234764	0.0730441636	all	all
	34	5594.5584576196	4216.1803236176	12642.073546081	3148.6736561857	2331.7242713672	328	119	5.5	0.6353132992	16	16	7.96455546	47	590.1145423	127.1473605	8.369951823	9.008495161	306.5381961	85.44493732	221.0932588	220.4112674	441.8983063	318.05662	137.4435614	2.865303585	102.629414	0	41.40602657	31.1061286495	182.6089487	505.8222747	2	30	0	22	1	21	23	1.0200269319	0.647418316	-0.2157851508	-0.9803043407	-0.0527973381	0.8721508983	0.3094466169	0.8571594808	0.5389743807	0.2329099718	0.0048555041	0.070166084	all	all
	36	270.279666481	233.0393406085	507.1183152647	211.8745173207	68.3443927726	15.4100946372	4.3848580442	1.7003154574	0.1454411775	100489	60547	36.49311984	1396	3825.378608	537.5309215	81.36481345	151.2063476	1254.054137	303.2616315	950.7925051	2052.265877	2534.539859	3144.869513	1065.746806	96.47015229	212.9370967	11.2202778	283.0178747	32.2006487695	1943.723084	2256.263151	233	925	27	559	310	253	5.548453608	0.0612101277	0.8268898485	0.388888427	0.6946464215	1.059423583	0.8535368221	0.5081126035	0.5898143379	0.8221067338	0.2785990395	0.0252184587	0.0739842781	all	all
	37	307.5738769612	342.7452554798	659.1041867666	309.3991037477	66.4004516438	12.6984732824	4.7900763359	1.3778625954	0.1352228196	68644	50042	40.61479986	1174	2890.57192	360.5844456	51.28994502	120.7756862	910.7543175	239.6287935	671.125524	1629.798367	1950.197629	2522.83944	907.7525363	43.32468444	144.1498937	8.815358893	176.991712	33.7738669957	1655.840453	1541.265336	252	773	25	481	249	236	6.092807425	-0.1405707302	0.7234106586	0.0880194326	0.8503581076	1.2460356158	0.5349288478	0.5728418108	0.5332042857	0.8727821033	0.3140390765	0.0149882742	0.0612306896	all	all
	38	972.6558004539	833.9631294239	2047.4071065038	769.9469845119	382.9727700001	72.8068181818	23.2954545455	2.1818181818	0.2302884349	7744	4928	32.38609215	479	1479.029942	178.9233699	21.52794567	68.86860574	447.0140398	145.9812118	301.032828	882.1998749	1014.324431	1376.436823	516.5220776	11.62611418	78.67503813	8.088018408	67.55932788	35.4735033521	917.0157706	726.6404644	45	355	15	232	91	187	10.5546875	-0.1888224743	0.4149000916	-0.1840549798	1.1804077927	1.4687748923	0.2120915554	0.6200116337	0.4912953036	0.93063486	0.3492303049	0.0078606348	0.045678134	all	all
